qname,A_pos,A_strand,B_pos,B_strand,A_AS,A_XS,A_score_gap,A_MAPQ,A_MAPQ_clean,A_NM,A_candidate_count,A_rank,expected_B_center,target_z,target_width,bowtie_fixed_width,TLEN_for_evaluation_only,primary
r1167,4964,+,5150,-,-9,,,255,,6,1,1,5117.0,33.0,66.0,500,283,True
r1168,26273,-,26011,+,-14,,,255,,3,1,1,26074.0,63.0,126.0,500,-313,True
r1169,4085,-,3832,+,-4,,,255,,2,1,1,3909.0,77.0,154.0,500,-327,True
r1170,30356,+,30481,-,-2,,,255,,1,1,1,30541.0,60.0,120.0,500,190,True
r1171,30124,+,30287,-,-5,,,255,,4,1,1,30286.0,1.0,2.0,500,251,True
r1172,16234,-,16046,+,-5,,,255,,3,1,1,16087.0,41.0,82.0,500,-291,True
r1174,10000,-,9864,+,-5,,,255,,1,1,1,9835.0,29.0,58.0,500,-221,True
r1175,40075,-,39925,+,-1,,,255,,1,1,1,39879.0,46.0,92.0,500,-204,True
r1176,1948,+,2093,-,0,,,255,,0,1,1,2140.0,47.0,94.0,500,203,True
r1177,20585,+,20657,-,-33,,,255,,21,1,1,20678.0,21.0,42.0,500,229,True
r1178,15143,+,15164,-,-2,,,255,,1,1,1,15206.0,42.0,84.0,500,208,True
r1179,1215,+,1433,-,-6,,,255,,4,1,1,1408.0,25.0,50.0,500,275,True
r1180,4692,+,4902,-,0,,,255,,0,1,1,4869.0,33.0,66.0,500,283,True
r1182,15230,+,15370,-,0,,,255,,0,1,1,15381.0,11.0,22.0,500,239,True
r1183,8214,+,8214,-,-3,,,255,,1,1,1,8306.0,92.0,184.0,500,158,True
r1184,2369,+,2585,-,0,,,255,,0,1,1,2577.0,8.0,16.0,500,258,True
r1185,20665,-,20552,+,-9,,,255,,7,1,1,20601.0,49.0,98.0,500,-299,True
r1187,23911,+,24108,-,0,,,255,,0,1,1,24085.0,23.0,46.0,500,273,True
r1188,6290,-,6106,+,-9,,,255,,3,1,1,6092.0,14.0,28.0,500,-236,True
r1189,26781,+,26964,-,0,,,255,,0,1,1,26970.0,6.0,12.0,500,244,True
r1190,35399,+,35641,-,-4,,,255,,2,1,1,35609.0,32.0,64.0,500,282,True
r1192,28298,-,28208,+,-5,,,255,,1,1,1,28203.0,5.0,10.0,500,-245,True
r1194,33812,+,34003,-,-2,,,255,,2,1,1,33981.0,22.0,44.0,500,272,True
r1195,13216,+,13333,-,-1,,,255,,1,1,1,13392.0,59.0,118.0,500,191,True
r1196,27814,-,27595,+,-9,,,255,,3,1,1,27640.0,45.0,90.0,500,-295,True
r1197,30360,-,30101,+,0,,,255,,0,1,1,30151.0,50.0,100.0,500,-300,True
r1198,21702,+,21834,-,-2,,,255,,1,1,1,21907.0,73.0,146.0,500,177,True
r1200,16164,+,16245,-,-3,,,255,,1,1,1,16263.0,18.0,36.0,500,232,True
r1201,42970,-,42818,+,-5,,,255,,2,1,1,42810.0,8.0,16.0,500,-242,True
r1202,10822,-,10775,+,-1,,,255,,1,1,1,10789.0,14.0,28.0,500,-264,True
r1204,38382,-,38138,+,-8,,,255,,3,1,1,38179.0,41.0,82.0,500,-291,True
r1205,18985,+,19025,-,-24,,,255,,7,1,1,19032.0,7.0,14.0,500,243,True
r1206,26779,+,26905,-,0,,,255,,0,1,1,26983.0,78.0,156.0,500,172,True
r1207,40503,+,40745,-,-4,,,255,,1,1,1,40696.0,49.0,98.0,500,299,True
r1209,28118,-,28027,+,0,,,255,,0,1,1,28032.0,5.0,10.0,500,-255,True
r1210,16187,+,16236,-,-2,,,255,,2,1,1,16323.0,87.0,174.0,500,163,True
r1212,21110,-,21110,+,-4,,,255,,1,1,1,21260.0,150.0,300.0,500,-238,True
r1213,13933,-,13824,+,-18,,,255,,12,1,1,13819.0,5.0,10.0,500,-245,True
r1214,11309,+,11437,-,-1,,,255,,1,1,1,11460.0,23.0,46.0,500,227,True
r1215,7162,-,6863,+,-2,,,255,,1,1,1,6959.0,96.0,192.0,500,-346,True
r1216,26058,-,25994,+,-14,,,255,,5,1,1,25956.0,38.0,76.0,500,-212,True
r1217,1205,-,966,+,-1,,,255,,1,1,1,1019.0,53.0,106.0,500,-303,True
r1218,27111,+,27243,-,-16,,,255,,7,1,1,27236.0,7.0,14.0,500,257,True
r1219,15284,+,15522,-,0,,,255,,0,1,1,15445.0,77.0,154.0,500,327,True
r1220,15168,+,15300,-,-2,,,255,,2,1,1,15350.0,50.0,100.0,500,200,True
r1221,14279,-,14200,+,-7,,,255,,2,1,1,14173.0,27.0,54.0,500,-223,True
r1222,20046,+,20225,-,-1,,,255,,1,1,1,20224.0,1.0,2.0,500,251,True
r1224,48130,+,48325,-,0,,,255,,0,1,1,48320.0,5.0,10.0,500,255,True
r1225,39976,+,40164,-,-2,,,255,,2,1,1,40150.0,14.0,28.0,500,264,True
r1226,16601,-,16438,+,-5,,,255,,2,1,1,16480.0,42.0,84.0,500,-292,True
r1227,40251,-,40103,+,-2,,,255,,2,1,1,40058.0,45.0,90.0,500,-205,True
r1229,41492,+,41747,-,0,,,255,,0,1,1,41696.0,51.0,102.0,500,301,True
r1230,30911,-,30639,+,-3,,,255,,2,1,1,30706.0,67.0,134.0,500,-317,True
r1231,35417,+,35417,-,0,,,255,,0,1,1,35450.0,33.0,66.0,500,217,True
r1232,32409,-,32408,+,-24,,,255,,17,1,1,32378.0,30.0,60.0,500,-220,True
r1233,32022,-,31791,+,0,,,255,,0,1,1,31828.0,37.0,74.0,500,-287,True
r1234,37309,-,37117,+,-4,,,255,,1,1,1,37103.0,14.0,28.0,500,-236,True
r1235,48077,+,48155,-,-6,,,255,,5,1,1,48160.0,5.0,10.0,500,245,True
r1236,13156,+,13274,-,-2,,,255,,1,1,1,13274.0,0.0,0.0,500,250,True
r1237,41963,-,41760,+,-5,,,255,,1,1,1,41785.0,25.0,50.0,500,-275,True
r1238,31202,-,31053,+,-1,,,255,,1,1,1,31030.0,23.0,46.0,500,-227,True
r1241,27348,+,27485,-,0,,,255,,0,1,1,27481.0,4.0,8.0,500,254,True
r1242,19779,-,19735,+,-1,,,255,,1,1,1,19679.0,56.0,112.0,500,-194,True
r1243,37908,+,38029,-,-6,,,255,,4,1,1,38009.0,20.0,40.0,500,270,True
r1244,9746,-,9746,+,-10,,,255,,5,1,1,9938.0,192.0,384.0,500,-137,True
r1245,16441,-,16306,+,-4,,,255,,1,1,1,16317.0,11.0,22.0,500,-261,True
r1246,35918,-,35802,+,0,,,255,,0,1,1,35754.0,48.0,96.0,500,-202,True
r1247,14329,+,14498,-,-7,,,255,,3,1,1,14496.0,2.0,4.0,500,252,True
r1248,43612,+,43750,-,-5,,,255,,1,1,1,43798.0,48.0,96.0,500,202,True
r1249,29307,-,29160,+,-11,,,255,,8,1,1,29172.0,12.0,24.0,500,-262,True
r1250,37081,+,37286,-,-1,,,255,,1,1,1,37260.0,26.0,52.0,500,276,True
r1251,35130,-,35049,+,-5,,,255,,1,1,1,35045.0,4.0,8.0,500,-246,True
r1252,33241,-,33191,+,-3,,,255,,1,1,1,33122.0,69.0,138.0,500,-181,True
r1253,14914,+,14999,-,-12,,,255,,5,1,1,15052.0,53.0,106.0,500,197,True
r1254,39821,-,39611,+,-4,,,255,,2,1,1,39636.0,25.0,50.0,500,-275,True
r1255,20460,-,20460,+,-24,,,255,,10,1,1,20614.0,154.0,308.0,500,-271,True
r1256,39970,-,39833,+,-8,,,255,,4,1,1,39870.0,37.0,74.0,500,-287,True
r1257,22177,+,22371,-,0,,,255,,0,1,1,22365.0,6.0,12.0,500,256,True
r1258,16770,+,16981,-,-3,,,255,,3,1,1,16952.0,29.0,58.0,500,279,True
r1259,45344,+,45395,-,0,,,255,,0,1,1,45366.0,29.0,58.0,500,279,True
r1260,44152,-,44038,+,-22,,,255,,7,1,1,43990.0,48.0,96.0,500,-202,True
r1261,39368,-,39247,+,-6,,,255,,4,1,1,39214.0,33.0,66.0,500,-217,True
r1262,10425,-,10350,+,-15,,,255,,12,1,1,10344.0,6.0,12.0,500,-244,True
r1263,46489,+,46742,-,-2,,,255,,2,1,1,46696.0,46.0,92.0,500,296,True
r1264,33145,+,33156,-,-11,,,255,,2,1,1,33284.0,128.0,256.0,500,122,True
r1265,25010,-,24921,+,-1,,,255,,1,1,1,24881.0,40.0,80.0,500,-210,True
r1266,11947,+,11947,-,-9,,,255,,7,1,1,12060.0,113.0,226.0,500,137,True
r1267,4231,-,4231,+,-5,,,255,,3,1,1,4306.0,75.0,150.0,500,-190,True
r1268,25573,-,25479,+,-1,,,255,,1,1,1,25436.0,43.0,86.0,500,-207,True
r1269,25637,+,25695,-,-2,,,255,,2,1,1,25666.0,29.0,58.0,500,279,True
r1270,25255,-,25067,+,-2,,,255,,2,1,1,25117.0,50.0,100.0,500,-300,True
r1271,33969,+,34207,-,0,,,255,,0,1,1,34168.0,39.0,78.0,500,289,True
r1272,34701,+,34853,-,-8,,,255,,6,1,1,34909.0,56.0,112.0,500,194,True
r1273,18475,-,18396,+,0,,,255,,0,1,1,18360.0,36.0,72.0,500,-214,True
r1274,2691,+,2854,-,-11,,,255,,4,1,1,2848.0,6.0,12.0,500,256,True
r1275,46909,-,46772,+,-7,,,255,,3,1,1,46826.0,54.0,108.0,500,-304,True
r1276,11509,+,11718,-,-2,,,255,,2,1,1,11702.0,16.0,32.0,500,266,True
r1277,16584,+,16697,-,0,,,255,,0,1,1,16703.0,6.0,12.0,500,244,True
r1278,10995,-,10796,+,0,,,255,,0,1,1,10802.0,6.0,12.0,500,-256,True
r1279,45133,-,45014,+,0,,,255,,0,1,1,44940.0,74.0,148.0,500,-176,True
r1280,36737,+,36887,-,0,,,255,,0,1,1,36878.0,9.0,18.0,500,259,True
r1282,15944,+,16242,-,-3,,,255,,1,1,1,16146.0,96.0,192.0,500,346,True
r1283,10486,+,10676,-,-4,,,255,,2,1,1,10656.0,20.0,40.0,500,270,True
r1284,32218,-,31964,+,0,,,255,,0,1,1,32012.0,48.0,96.0,500,-298,True
r1285,19936,-,19699,+,-2,,,255,,1,1,1,19752.0,53.0,106.0,500,-303,True
r1286,17426,+,17506,-,-12,,,255,,6,1,1,17558.0,52.0,104.0,500,198,True
r1287,19516,-,19477,+,-3,,,255,,2,1,1,19416.0,61.0,122.0,500,-189,True
r1288,30943,-,30764,+,-1,,,255,,1,1,1,30801.0,37.0,74.0,500,-287,True
r1289,35365,+,35506,-,-5,,,255,,4,1,1,35559.0,53.0,106.0,500,197,True
r1290,42195,+,42317,-,-8,,,255,,3,1,1,42350.0,33.0,66.0,500,217,True
r1291,25039,+,25140,-,-4,,,255,,2,1,1,25103.0,37.0,74.0,500,287,True
r1292,39270,+,39270,-,-1,,,255,,1,1,1,39328.0,58.0,116.0,500,192,True
r1293,14274,+,14473,-,0,,,255,,0,1,1,14423.0,50.0,100.0,500,300,True
r1295,33290,-,33113,+,-12,,,255,,9,1,1,33169.0,56.0,112.0,500,-306,True
r1296,27003,-,26929,+,-5,,,255,,2,1,1,26895.0,34.0,68.0,500,-216,True
r1297,11050,+,11122,-,-3,,,255,,1,1,1,11066.0,56.0,112.0,500,306,True
r1298,29623,+,29831,-,0,,,255,,0,1,1,29818.0,13.0,26.0,500,263,True
r1299,1500,+,1500,-,-1,,,255,,1,1,1,1503.0,3.0,6.0,500,247,True
r1300,14956,-,14772,+,0,,,255,,0,1,1,14778.0,6.0,12.0,500,-256,True
r1301,10111,+,10251,-,0,,,255,,0,1,1,10235.0,16.0,32.0,500,266,True
r1302,40528,+,40704,-,0,,,255,,0,1,1,40638.0,66.0,132.0,500,316,True
r1303,737,+,941,-,-1,,,255,,1,1,1,945.0,4.0,8.0,500,246,True
r1304,44101,-,43909,+,-12,,,255,,5,1,1,43927.0,18.0,36.0,500,-268,True
r1305,13365,-,13272,+,0,,,255,,0,1,1,13161.0,111.0,222.0,500,-139,True
r1306,4602,+,4775,-,-1,,,255,,1,1,1,4788.0,13.0,26.0,500,237,True
r1307,21150,+,21225,-,0,,,255,,0,1,1,21258.0,33.0,66.0,500,217,True
r1308,32649,+,32822,-,-5,,,255,,3,1,1,32787.0,35.0,70.0,500,285,True
r1309,13376,-,13108,+,-9,,,255,,6,1,1,13166.0,58.0,116.0,500,-308,True
r1310,6231,+,6356,-,-1,,,255,,1,1,1,6352.0,4.0,8.0,500,254,True
r1311,20878,-,20728,+,-1,,,255,,1,1,1,20670.0,58.0,116.0,500,-192,True
r1312,12417,-,12259,+,0,,,255,,0,1,1,12249.0,10.0,20.0,500,-240,True
r1313,4509,+,4722,-,-1,,,255,,1,1,1,4678.0,44.0,88.0,500,294,True
r1314,6041,-,5919,+,-10,,,255,,5,1,1,5938.0,19.0,38.0,500,-269,True
r1315,46518,-,46435,+,-9,,,255,,6,1,1,46450.0,15.0,30.0,500,-265,True
r1316,793,-,677,+,-1,,,255,,1,1,1,627.0,50.0,100.0,500,-200,True
r1318,41155,+,41345,-,-63,,,255,,19,1,1,41334.0,11.0,22.0,500,261,True
r1319,10205,-,10129,+,-4,,,255,,3,1,1,10010.0,119.0,238.0,500,-131,True
r1320,40106,+,40236,-,-1,,,255,,1,1,1,40231.0,5.0,10.0,500,255,True
r1321,12698,+,12876,-,-5,,,255,,1,1,1,12868.0,8.0,16.0,500,258,True
r1322,26965,-,26903,+,-2,,,255,,2,1,1,26852.0,51.0,102.0,500,-199,True
r1323,20306,+,20484,-,-3,,,255,,2,1,1,20390.0,94.0,188.0,500,344,True
r1324,28233,-,28069,+,0,,,255,,0,1,1,28107.0,38.0,76.0,500,-288,True
r1325,41863,+,42023,-,0,,,255,,0,1,1,41993.0,30.0,60.0,500,280,True
r1326,43921,-,43863,+,0,,,255,,0,1,1,43811.0,52.0,104.0,500,-198,True
r1327,11129,+,11317,-,0,,,255,,0,1,1,11267.0,50.0,100.0,500,300,True
r1329,22597,+,22684,-,-3,,,255,,2,1,1,22796.0,112.0,224.0,500,138,True
r1331,48251,+,48289,-,-1,,,255,,1,1,1,48325.0,36.0,72.0,500,214,True
r1332,7055,-,6867,+,-5,,,255,,1,1,1,6883.0,16.0,32.0,500,-266,True
r1333,3299,+,3513,-,-2,,,255,,1,1,1,3479.0,34.0,68.0,500,284,True
r1334,22763,-,22615,+,-4,,,255,,1,1,1,22580.0,35.0,70.0,500,-215,True
r1335,22001,-,21807,+,-5,,,255,,2,1,1,21860.0,53.0,106.0,500,-303,True
r1336,19204,+,19290,-,-3,,,255,,1,1,1,19330.0,40.0,80.0,500,210,True
r1337,35762,+,35914,-,-8,,,255,,4,1,1,35865.0,49.0,98.0,500,299,True
r1338,6598,-,6565,+,-12,,,255,,2,1,1,6580.0,15.0,30.0,500,-265,True
r1339,40989,-,40856,+,0,,,255,,0,1,1,40886.0,30.0,60.0,500,-280,True
r1340,8219,-,8137,+,-4,,,255,,2,1,1,8086.0,51.0,102.0,500,-199,True
r1341,12919,+,13124,-,-8,,,255,,1,1,1,13071.0,53.0,106.0,500,303,True
r1342,35513,-,35491,+,-2,,,255,,2,1,1,35483.0,8.0,16.0,500,-242,True
r1343,27961,+,28101,-,0,,,255,,0,1,1,28081.0,20.0,40.0,500,270,True
r1344,31501,+,31519,-,-9,,,255,,2,1,1,31507.0,12.0,24.0,500,262,True
r1345,11365,-,11207,+,0,,,255,,0,1,1,11223.0,16.0,32.0,500,-266,True
r1346,46759,+,46759,-,-1,,,255,,1,1,1,46752.0,7.0,14.0,500,257,True
r1347,12111,+,12264,-,0,,,255,,0,1,1,12305.0,41.0,82.0,500,209,True
r1348,16506,-,16464,+,-3,,,255,,2,1,1,16385.0,79.0,158.0,500,-171,True
r1349,19957,+,20142,-,0,,,255,,0,1,1,20100.0,42.0,84.0,500,292,True
r1350,4961,-,4796,+,-2,,,255,,2,1,1,4833.0,37.0,74.0,500,-287,True
r1351,4261,+,4395,-,-1,,,255,,1,1,1,4385.0,10.0,20.0,500,260,True
r1352,24713,+,24897,-,0,,,255,,0,1,1,24856.0,41.0,82.0,500,291,True
r1353,32312,-,32155,+,-5,,,255,,3,1,1,32138.0,17.0,34.0,500,-233,True
r1354,22405,-,22282,+,-26,,,255,,6,1,1,22264.0,18.0,36.0,500,-232,True
r1355,25249,+,25451,-,-1,,,255,,1,1,1,25456.0,5.0,10.0,500,245,True
r1356,23067,-,22785,+,0,,,255,,0,1,1,22860.0,75.0,150.0,500,-325,True
r1357,30939,-,30812,+,0,,,255,,0,1,1,30826.0,14.0,28.0,500,-264,True
r1358,23015,+,23157,-,-2,,,255,,2,1,1,23160.0,3.0,6.0,500,247,True
r1359,47884,+,48067,-,-4,,,255,,2,1,1,47996.0,71.0,142.0,500,321,True
r1360,24615,+,24690,-,-13,,,255,,11,1,1,24723.0,33.0,66.0,500,217,True
r1361,35196,-,35044,+,-5,,,255,,2,1,1,35033.0,11.0,22.0,500,-239,True
r1363,18281,-,18070,+,-1,,,255,,1,1,1,18086.0,16.0,32.0,500,-266,True
r1364,4086,-,4006,+,0,,,255,,0,1,1,3960.0,46.0,92.0,500,-204,True
r1365,38853,-,38803,+,-14,,,255,,4,1,1,38822.0,19.0,38.0,500,-269,True
r1366,33691,-,33528,+,-2,,,255,,1,1,1,33490.0,38.0,76.0,500,-212,True
r1367,4161,-,4161,+,-16,,,255,,9,1,1,4350.0,189.0,378.0,500,-260,True
r1368,3067,+,3221,-,-6,,,255,,6,1,1,3224.0,3.0,6.0,500,247,True
r1369,18965,-,18773,+,0,,,255,,0,1,1,18761.0,12.0,24.0,500,-238,True
r1371,33425,-,33258,+,-2,,,255,,2,1,1,33253.0,5.0,10.0,500,-245,True
r1372,12986,+,13137,-,-8,,,255,,1,1,1,13194.0,57.0,114.0,500,193,True
r1373,5192,-,4984,+,-2,,,255,,1,1,1,4998.0,14.0,28.0,500,-264,True
r1374,27243,+,27441,-,-1,,,255,,1,1,1,27408.0,33.0,66.0,500,283,True
r1376,31065,+,31236,-,0,,,255,,0,1,1,31257.0,21.0,42.0,500,229,True
r1377,9813,-,9676,+,-2,,,255,,2,1,1,9626.0,50.0,100.0,500,-200,True
r1378,18234,-,18062,+,-1,,,255,,1,1,1,18042.0,20.0,40.0,500,-230,True
r1379,42993,+,43131,-,-1,,,255,,1,1,1,43081.0,50.0,100.0,500,300,True
r1380,14925,-,14751,+,0,,,255,,0,1,1,14760.0,9.0,18.0,500,-259,True
r1381,35933,-,35817,+,-4,,,255,,1,1,1,35733.0,84.0,168.0,500,-166,True
r1382,7478,+,7593,-,-4,,,255,,3,1,1,7677.0,84.0,168.0,500,166,True
r1383,46044,-,45917,+,0,,,255,,0,1,1,45898.0,19.0,38.0,500,-231,True
r1384,22158,+,22224,-,-2,,,255,,1,1,1,22282.0,58.0,116.0,500,192,True
r1385,2806,-,2654,+,-8,,,255,,1,1,1,2604.0,50.0,100.0,500,-200,True
r1386,13902,-,13776,+,-1,,,255,,1,1,1,13799.0,23.0,46.0,500,-273,True
r1387,1564,-,1534,+,-3,,,255,,3,1,1,1500.0,34.0,68.0,500,-216,True
r1389,1614,+,1749,-,-1,,,255,,1,1,1,1815.0,66.0,132.0,500,184,True
r1390,12149,+,12263,-,-6,,,255,,3,1,1,12260.0,3.0,6.0,500,253,True
r1391,22102,+,22282,-,-1,,,255,,1,1,1,22312.0,30.0,60.0,500,220,True
r1392,26621,-,26518,+,0,,,255,,0,1,1,26425.0,93.0,186.0,500,-157,True
r1393,13655,-,13431,+,-2,,,255,,1,1,1,13457.0,26.0,52.0,500,-276,True
r1394,21320,-,21241,+,0,,,255,,0,1,1,21207.0,34.0,68.0,500,-216,True
r1395,31129,-,31028,+,-1,,,255,,1,1,1,30952.0,76.0,152.0,500,-174,True
r1396,36410,-,36254,+,-9,,,255,,2,1,1,36208.0,46.0,92.0,500,-204,True
r1398,17377,+,17558,-,-2,,,255,,2,1,1,17528.0,30.0,60.0,500,280,True
r1400,32132,-,32022,+,-4,,,255,,2,1,1,31974.0,48.0,96.0,500,-202,True
r1401,10294,-,10083,+,-8,,,255,,4,1,1,10167.0,84.0,168.0,500,-334,True
r1404,42174,+,42292,-,-1,,,255,,1,1,1,42269.0,23.0,46.0,500,273,True
r1405,7881,-,7766,+,-2,,,255,,2,1,1,7723.0,43.0,86.0,500,-207,True
r1406,18162,+,18265,-,0,,,255,,0,1,1,18270.0,5.0,10.0,500,245,True
r1407,33149,+,33172,-,-16,,,255,,3,1,1,33147.0,25.0,50.0,500,275,True
r1408,16497,-,16367,+,-7,,,255,,3,1,1,16300.0,67.0,134.0,500,-183,True
r1409,35437,-,35208,+,0,,,255,,0,1,1,35229.0,21.0,42.0,500,-271,True
r1410,18115,+,18320,-,-8,,,255,,4,1,1,18270.0,50.0,100.0,500,300,True
r1411,12606,-,12417,+,-5,,,255,,2,1,1,12434.0,17.0,34.0,500,-267,True
r1412,12147,+,12416,-,-3,,,255,,1,1,1,12345.0,71.0,142.0,500,321,True
r1413,9318,-,9067,+,-1,,,255,,1,1,1,9120.0,53.0,106.0,500,-303,True
r1414,8115,-,7954,+,-2,,,255,,2,1,1,7942.0,12.0,24.0,500,-238,True
r1415,21388,+,21680,-,-4,,,255,,3,1,1,21576.0,104.0,208.0,500,354,True
r1418,5508,-,5360,+,-1,,,255,,1,1,1,5344.0,16.0,32.0,500,-234,True
r1419,16917,+,16988,-,0,,,255,,0,1,1,16991.0,3.0,6.0,500,247,True
r1420,11346,+,11526,-,0,,,255,,0,1,1,11524.0,2.0,4.0,500,252,True
r1421,37662,-,37640,+,-1,,,255,,1,1,1,37545.0,95.0,190.0,500,-155,True
r1422,45135,-,45028,+,-7,,,255,,5,1,1,45004.0,24.0,48.0,500,-226,True
r1423,19281,-,19124,+,-10,,,255,,7,1,1,19173.0,49.0,98.0,500,-299,True
r1424,45570,-,45384,+,-4,,,255,,1,1,1,45385.0,1.0,2.0,500,-251,True
r1425,40846,-,40647,+,-1,,,255,,1,1,1,40646.0,1.0,2.0,500,-249,True
r1426,45612,+,45783,-,-6,,,255,,2,1,1,45776.0,7.0,14.0,500,257,True
r1427,4579,+,4764,-,-2,,,255,,2,1,1,4776.0,12.0,24.0,500,238,True
r1428,28438,-,28363,+,-12,,,255,,9,1,1,28330.0,33.0,66.0,500,-217,True
r1429,13115,+,13277,-,-1,,,255,,1,1,1,13273.0,4.0,8.0,500,254,True
r1430,441,-,290,+,-4,,,255,,1,1,1,296.0,6.0,12.0,500,-256,True
r1431,22940,+,23171,-,-1,,,255,,1,1,1,23119.0,52.0,104.0,500,302,True
r1432,18332,+,18474,-,-5,,,255,,4,1,1,18497.0,23.0,46.0,500,227,True
r1433,6822,-,6674,+,0,,,255,,0,1,1,6665.0,9.0,18.0,500,-241,True
r1434,7104,-,6849,+,0,,,255,,0,1,1,6917.0,68.0,136.0,500,-318,True
r1435,7870,+,7901,-,-9,,,255,,6,1,1,7931.0,30.0,60.0,500,220,True
r1437,35107,+,35403,-,-15,,,255,,11,1,1,35314.0,89.0,178.0,500,339,True
r1438,40316,-,40127,+,0,,,255,,0,1,1,40145.0,18.0,36.0,500,-268,True
r1439,32245,-,31995,+,-1,,,255,,1,1,1,32049.0,54.0,108.0,500,-304,True
r1441,38515,+,38619,-,-2,,,255,,2,1,1,38664.0,45.0,90.0,500,205,True
r1442,42003,+,42051,-,-5,,,255,,1,1,1,42122.0,71.0,142.0,500,179,True
r1443,30237,-,30084,+,-1,,,255,,1,1,1,30027.0,57.0,114.0,500,-193,True
r1445,42725,-,42477,+,-9,,,255,,5,1,1,42535.0,58.0,116.0,500,-308,True
r1446,48180,+,48428,-,-7,,,255,,6,1,1,48373.0,55.0,110.0,500,305,True
r1447,43123,+,43232,-,-5,,,255,,4,1,1,43192.0,40.0,80.0,500,290,True
r1448,43370,+,43475,-,0,,,255,,0,1,1,43460.0,15.0,30.0,500,265,True
r1449,43656,-,43570,+,-8,,,255,,4,1,1,43573.0,3.0,6.0,500,-253,True
r1450,34677,+,34719,-,0,,,255,,0,1,1,34760.0,41.0,82.0,500,209,True
r1451,16358,+,16436,-,0,,,255,,0,1,1,16463.0,27.0,54.0,500,223,True
r1452,38271,-,38089,+,-6,,,255,,2,1,1,38109.0,20.0,40.0,500,-270,True
r1453,2012,+,2184,-,-3,,,255,,2,1,1,2211.0,27.0,54.0,500,223,True
r1454,33105,-,32871,+,0,,,255,,0,1,1,32909.0,38.0,76.0,500,-288,True
r1455,19168,+,19168,-,0,,,255,,0,1,1,19145.0,23.0,46.0,500,273,True
r1456,5187,-,5120,+,-1,,,255,,1,1,1,5098.0,22.0,44.0,500,-228,True
r1458,20269,-,20240,+,-1,,,255,,1,1,1,20110.0,130.0,260.0,500,-120,True
r1459,41770,-,41600,+,-2,,,255,,1,1,1,41597.0,3.0,6.0,500,-247,True
r1460,42808,-,42625,+,0,,,255,,0,1,1,42637.0,12.0,24.0,500,-262,True
r1461,48160,-,48038,+,-1,,,255,,1,1,1,48111.0,73.0,146.0,500,-323,True
r1463,36364,+,36558,-,-13,,,255,,5,1,1,36524.0,34.0,68.0,500,284,True
r1464,39186,-,38971,+,-8,,,255,,4,1,1,39044.0,73.0,146.0,500,-323,True
r1465,45681,-,45669,+,-25,,,255,,12,1,1,45679.0,10.0,20.0,500,-260,True
r1466,45930,+,46227,-,-9,,,255,,4,1,1,46139.0,88.0,176.0,500,338,True
r1468,43066,-,42928,+,-1,,,255,,1,1,1,42858.0,70.0,140.0,500,-180,True
r1469,24137,-,24055,+,0,,,255,,0,1,1,23928.0,127.0,254.0,500,-123,True
r1470,3344,-,3186,+,0,,,255,,0,1,1,3150.0,36.0,72.0,500,-214,True
r1471,33705,+,33917,-,-9,,,255,,7,1,1,33855.0,62.0,124.0,500,312,True
r1472,28503,+,28707,-,0,,,255,,0,1,1,28674.0,33.0,66.0,500,283,True
r1473,3543,-,3264,+,-2,,,255,,1,1,1,3352.0,88.0,176.0,500,-338,True
r1474,32837,+,33048,-,0,,,255,,0,1,1,33008.0,40.0,80.0,500,290,True
r1475,46872,-,46719,+,-6,,,255,,2,1,1,46679.0,40.0,80.0,500,-210,True
r1476,1159,-,911,+,0,,,255,,0,1,1,1010.0,99.0,198.0,500,-349,True
r1477,4266,-,4200,+,-5,,,255,,4,1,1,4119.0,81.0,162.0,500,-169,True
r1478,3897,+,3897,-,-4,,,255,,4,1,1,3906.0,9.0,18.0,500,241,True
r1479,18511,-,18475,+,-4,,,255,,2,1,1,18427.0,48.0,96.0,500,-202,True
r1480,35341,-,35185,+,-7,,,255,,3,1,1,35206.0,21.0,42.0,500,-271,True
r1482,6229,-,6083,+,-13,,,255,,3,1,1,6082.0,1.0,2.0,500,-249,True
r1483,31065,-,30911,+,-1,,,255,,1,1,1,30887.0,24.0,48.0,500,-226,True
r1484,34459,+,34629,-,-3,,,255,,1,1,1,34660.0,31.0,62.0,500,219,True
r1485,12050,-,12050,+,-4,,,255,,4,1,1,12210.0,160.0,320.0,500,-221,True
r1486,37046,+,37187,-,-9,,,255,,3,1,1,37169.0,18.0,36.0,500,268,True
r1487,22237,-,22104,+,-1,,,255,,1,1,1,22083.0,21.0,42.0,500,-229,True
r1488,44380,-,44191,+,-1,,,255,,1,1,1,44171.0,20.0,40.0,500,-230,True
r1489,22721,-,22629,+,-5,,,255,,3,1,1,22543.0,86.0,172.0,500,-164,True
r1490,5599,-,5438,+,-4,,,255,,1,1,1,5435.0,3.0,6.0,500,-247,True
r1491,4615,-,4390,+,0,,,255,,0,1,1,4412.0,22.0,44.0,500,-272,True
r1492,12421,+,12629,-,-32,,,255,,10,1,1,12583.0,46.0,92.0,500,296,True
r1493,37803,+,37989,-,-11,,,255,,4,1,1,37968.0,21.0,42.0,500,271,True
r1495,6195,-,6129,+,0,,,255,,0,1,1,5987.0,142.0,284.0,500,-108,True
